처분일자,정리구분,등록자ID,등록자명,승인상태,G2B_목록번호,G2B_목록명,물품고유번호,취득일자,취득금액,처분방식,물품상태,사유
2018-01-14,폐기,hyl0610,황팀장,확정,4321190223456784,27인치 모니터,M111505834,2015-10-03,2449000,폐기,정비필요품,고장/파손
2024-03-15,폐기,hyl0610,황팀장,확정,4321190223456784,27인치 모니터,M111505836,2015-10-03,2449000,폐기,정비필요품,고장/파손
2019-04-21,폐기,hyl0610,황팀장,확정,4321190223456784,27인치 모니터,M111505838,2015-10-03,2449000,폐기,폐품,사용연한경과
2023-09-08,폐기,hyl0610,황팀장,확정,4321150323456782,고성능 데스크탑 (Workstation),M112105841,2021-06-15,21456000,폐기,정비필요품,고장/파손
2016-12-07,매각,hyl0610,황팀장,확정,4321150323456782,고성능 데스크탑 (Workstation),M111505850,2015-05-19,21031000,매각,중고품,불용결정
2025-04-05,폐기,hyl0610,황팀장,확정,4321150323456782,고성능 데스크탑 (Workstation),M111505852,2015-05-19,21031000,폐기,정비필요품,고장/파손
2018-08-06,폐기,hyl0610,황팀장,확정,4321150323456782,고성능 데스크탑 (Workstation),M111505853,2015-05-19,21031000,폐기,정비필요품,고장/파손
2023-03-27,폐기,hyl0610,황팀장,확정,4321150323456782,고성능 데스크탑 (Workstation),M111505855,2015-05-19,21031000,폐기,폐품,사용연한경과
2025-12-11,매각,hyl0610,황팀장,확정,4410160123456790,복합기 (컬러 레이저),M112105863,2021-09-26,17107000,매각,중고품,불용결정
2018-01-06,폐기,hyl0610,황팀장,확정,4321190223456784,27인치 모니터,M111505868,2015-12-12,3306000,폐기,폐품,사용연한경과
2018-09-25,폐기,hyl0610,황팀장,확정,4321190223456784,27인치 모니터,M111505869,2015-12-12,3306000,폐기,폐품,사용연한경과
2018-02-09,폐기,hyl0610,황팀장,확정,4321190223456784,27인치 모니터,M111505874,2015-12-12,3306000,폐기,폐품,사용연한경과
2020-09-24,폐기,hyl0610,황팀장,확정,4321150723456783,행정용 데스크탑 (Standard),M111605876,2016-08-23,10116000,폐기,폐품,사용연한경과
2022-09-18,매각,hyl0610,황팀장,확정,4321150723456783,행정용 데스크탑 (Standard),M111605879,2016-08-23,10116000,매각,중고품,불용결정
2024-01-29,폐기,hyl0610,황팀장,확정,4321150723456783,행정용 데스크탑 (Standard),M111605880,2016-08-23,10116000,폐기,정비필요품,고장/파손
2019-09-09,폐기,hyl0610,황팀장,확정,4321150723456783,행정용 데스크탑 (Standard),M111605882,2016-08-23,10116000,폐기,정비필요품,고장/파손
2022-09-29,매각,hyl0610,황팀장,확정,4410160123456790,복합기 (컬러 레이저),M111805884,2018-08-27,32139000,매각,중고품,활용가능성 없음
2024-12-06,매각,hyl0610,황팀장,확정,4410160123456790,복합기 (컬러 레이저),M111805893,2018-08-27,32139000,매각,중고품,불용결정
2018-10-19,매각,hyl0610,황팀장,확정,4321150723456783,행정용 데스크탑 (Standard),M111505894,2015-04-11,2262000,매각,중고품,불용결정
2018-11-16,폐기,hyl0610,황팀장,확정,4321150723456783,행정용 데스크탑 (Standard),M111505895,2015-04-11,2262000,폐기,정비필요품,고장/파손
2025-08-30,매각,hyl0610,황팀장,확정,4321150323456781,업무용 노트북 (Galaxy Book),M112005899,2020-02-04,12151000,매각,중고품,불용결정
2022-08-22,폐기,hyl0610,황팀장,확정,4321150323456781,업무용 노트북 (Galaxy Book),M112005902,2020-02-04,12151000,폐기,폐품,사용연한경과
2023-04-05,매각,hyl0610,황팀장,확정,4321150323456781,업무용 노트북 (Galaxy Book),M112005903,2020-02-04,12151000,매각,중고품,활용가능성 없음
2023-01-03,매각,hyl0610,황팀장,확정,4321150323456781,업무용 노트북 (Galaxy Book),M112005904,2020-02-04,12151000,매각,중고품,불용결정
2022-12-20,폐기,hyl0610,황팀장,확정,4321150323456781,업무용 노트북 (Galaxy Book),M112005905,2020-02-04,12151000,폐기,폐품,사용연한경과
2023-03-12,폐기,hyl0610,황팀장,확정,4321150323456781,업무용 노트북 (Galaxy Book),M112005906,2020-02-04,12151000,폐기,정비필요품,고장/파손
2025-02-06,폐기,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111905908,2019-02-25,4350000,폐기,정비필요품,고장/파손
2023-02-23,폐기,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111905911,2019-02-25,4350000,폐기,폐품,사용연한경과
2025-09-24,폐기,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111905913,2019-02-25,4350000,폐기,폐품,사용연한경과
2024-11-11,매각,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111905918,2019-02-25,4350000,매각,중고품,불용결정
2026-01-17,폐기,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111905922,2019-02-25,4350000,폐기,폐품,사용연한경과
2021-12-24,폐기,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111905924,2019-02-25,4350000,폐기,정비필요품,고장/파손
2024-06-07,매각,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111905934,2019-02-25,4350000,매각,중고품,활용가능성 없음
2025-03-08,매각,hyl0610,황팀장,확정,4321150323456781,업무용 노트북 (Galaxy Book),M112205937,2022-10-01,14535000,매각,중고품,활용가능성 없음
2024-10-20,폐기,hyl0610,황팀장,확정,4511160123456786,강의실 빔프로젝터,M111705958,2017-07-30,12215000,폐기,폐품,사용연한경과
2025-04-07,매각,hyl0610,황팀장,확정,4511160123456786,강의실 빔프로젝터,M111705962,2017-07-30,12215000,매각,중고품,사업종료
2022-10-07,폐기,hyl0610,황팀장,확정,4511160123456786,강의실 빔프로젝터,M111705963,2017-07-30,12215000,폐기,폐품,사용연한경과
2025-04-22,폐기,hyl0610,황팀장,확정,4321190223456784,27인치 모니터,M112205987,2022-06-25,1327000,폐기,정비필요품,고장/파손
2020-03-07,매각,hyl0610,황팀장,확정,4322261023456785,AI 연구용 GPU 서버,M111705998,2017-05-09,148257000,매각,중고품,활용가능성 없음
2024-06-10,폐기,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111906019,2019-08-30,5984000,폐기,폐품,사용연한경과
2022-03-05,매각,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111906020,2019-08-30,5984000,매각,중고품,불용결정
2021-04-04,폐기,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111906021,2019-08-30,5984000,폐기,폐품,사용연한경과
2023-11-25,폐기,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111906022,2019-08-30,5984000,폐기,정비필요품,고장/파손
2024-11-10,폐기,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111906023,2019-08-30,5984000,폐기,폐품,사용연한경과
2025-05-16,폐기,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111906025,2019-08-30,5984000,폐기,폐품,사용연한경과
2024-11-28,매각,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111906026,2019-08-30,5984000,매각,중고품,사업종료
2022-03-13,매각,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111906027,2019-08-30,5984000,매각,중고품,활용가능성 없음
2024-11-15,매각,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111906030,2019-08-30,5984000,매각,중고품,불용결정
2021-09-29,폐기,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111906039,2019-08-30,5984000,폐기,폐품,사용연한경과
2024-08-02,매각,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111906040,2019-08-30,5984000,매각,중고품,불용결정
2021-10-04,폐기,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111906043,2019-08-30,5984000,폐기,폐품,사용연한경과
2025-06-19,폐기,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111906046,2019-08-30,5984000,폐기,폐품,사용연한경과
2024-01-04,매각,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111906047,2019-08-30,5984000,매각,중고품,불용결정
2021-03-14,매각,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111906048,2019-08-30,5984000,매각,중고품,활용가능성 없음
2022-03-30,폐기,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111906049,2019-08-30,5984000,폐기,폐품,사용연한경과
2023-04-10,매각,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111906053,2019-08-30,5984000,매각,중고품,불용결정
2023-01-07,폐기,hyl0610,황팀장,확정,4321150323456782,고성능 데스크탑 (Workstation),M111506055,2015-12-25,4765000,폐기,폐품,사용연한경과
2024-08-12,폐기,hyl0610,황팀장,확정,4321150323456781,업무용 노트북 (Galaxy Book),M111506067,2015-11-11,13575000,폐기,폐품,사용연한경과
2020-03-02,폐기,hyl0610,황팀장,확정,4321150323456781,업무용 노트북 (Galaxy Book),M111506074,2015-11-11,13575000,폐기,정비필요품,고장/파손
2021-10-18,매각,hyl0610,황팀장,확정,4321150323456782,고성능 데스크탑 (Workstation),M111506079,2015-09-17,15417000,매각,중고품,불용결정
2022-10-16,폐기,hyl0610,황팀장,확정,4321150323456782,고성능 데스크탑 (Workstation),M111506080,2015-09-17,15417000,폐기,폐품,사용연한경과
2025-02-04,매각,hyl0610,황팀장,확정,4321150323456781,업무용 노트북 (Galaxy Book),M111906096,2019-10-24,10561000,매각,중고품,불용결정
2025-02-07,폐기,hyl0610,황팀장,확정,4321150323456781,업무용 노트북 (Galaxy Book),M111906098,2019-10-24,10561000,폐기,정비필요품,고장/파손
2021-01-15,매각,hyl0610,황팀장,확정,4321150323456782,고성능 데스크탑 (Workstation),M111806101,2018-08-18,18708000,매각,중고품,불용결정
2020-12-16,폐기,hyl0610,황팀장,확정,4321150323456782,고성능 데스크탑 (Workstation),M111806102,2018-08-18,18708000,폐기,정비필요품,고장/파손
2022-06-30,매각,hyl0610,황팀장,확정,4321150323456782,고성능 데스크탑 (Workstation),M111806103,2018-08-18,18708000,매각,중고품,불용결정
2025-12-23,폐기,hyl0610,황팀장,확정,4321150323456782,고성능 데스크탑 (Workstation),M111806104,2018-08-18,18708000,폐기,정비필요품,고장/파손
2023-01-06,매각,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111806108,2018-02-06,1956000,매각,중고품,활용가능성 없음
2022-04-15,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111806109,2018-02-06,1956000,폐기,정비필요품,고장/파손
2019-11-17,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111806110,2018-02-06,1956000,폐기,폐품,사용연한경과
2021-12-20,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111806112,2018-02-06,1956000,폐기,정비필요품,고장/파손
2022-04-28,매각,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111806114,2018-02-06,1956000,매각,중고품,불용결정
2024-07-18,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M112006116,2020-12-21,10835000,폐기,폐품,사용연한경과
2025-12-08,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M112006119,2020-12-21,10835000,폐기,폐품,사용연한경과
2025-04-15,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M112006122,2020-12-21,10835000,폐기,폐품,사용연한경과
2023-11-07,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M112006124,2020-12-21,10835000,폐기,정비필요품,고장/파손
2025-12-07,매각,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M112006126,2020-12-21,10835000,매각,중고품,활용가능성 없음
2022-07-24,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M112006134,2020-12-21,10835000,폐기,폐품,사용연한경과
2025-07-25,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M112006139,2020-12-21,10835000,폐기,폐품,사용연한경과
2022-11-14,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M112006145,2020-12-21,10835000,폐기,폐품,사용연한경과
2024-06-14,매각,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M112006146,2020-12-21,10835000,매각,중고품,불용결정
2025-05-20,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M112006150,2020-12-21,10835000,폐기,폐품,사용연한경과
2025-02-20,매각,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M112006152,2020-12-21,10835000,매각,중고품,사업종료
2025-01-26,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M112006154,2020-12-21,10835000,폐기,폐품,사용연한경과
2024-03-29,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M112006156,2020-12-21,10835000,폐기,정비필요품,고장/파손
2023-10-02,매각,hyl0610,황팀장,확정,4511160123456786,강의실 빔프로젝터,M112006163,2020-11-22,14560000,매각,중고품,사업종료
2021-05-21,매각,hyl0610,황팀장,확정,4321150323456781,업무용 노트북 (Galaxy Book),M111906204,2019-02-02,1523000,매각,중고품,불용결정
2025-12-26,매각,hyl0610,황팀장,확정,4511160123456786,강의실 빔프로젝터,M112106211,2021-09-24,13309000,매각,중고품,불용결정
2023-06-19,매각,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M112106216,2021-07-12,2458000,매각,중고품,불용결정
2023-06-03,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M112106219,2021-07-12,2458000,폐기,정비필요품,고장/파손
2024-01-18,폐기,hyl0610,황팀장,확정,4321150723456783,행정용 데스크탑 (Standard),M111906232,2019-03-02,5773000,폐기,폐품,사용연한경과
2023-05-24,폐기,hyl0610,황팀장,확정,4321150723456783,행정용 데스크탑 (Standard),M111906233,2019-03-02,5773000,폐기,폐품,사용연한경과
2020-01-17,매각,hyl0610,황팀장,확정,4322261023456785,AI 연구용 GPU 서버,M111506235,2015-06-28,161496000,매각,중고품,사업종료
2021-08-20,폐기,hyl0610,황팀장,확정,4322261023456785,AI 연구용 GPU 서버,M111506236,2015-06-28,161496000,폐기,정비필요품,고장/파손
2021-06-10,폐기,hyl0610,황팀장,확정,4322261023456785,AI 연구용 GPU 서버,M111506243,2015-06-28,161496000,폐기,폐품,사용연한경과
2019-06-26,매각,hyl0610,황팀장,확정,4322261023456785,AI 연구용 GPU 서버,M111706245,2017-01-30,81274000,매각,중고품,활용가능성 없음
2020-12-29,매각,hyl0610,황팀장,확정,4322261023456785,AI 연구용 GPU 서버,M111706248,2017-01-30,81274000,매각,중고품,활용가능성 없음
2025-05-28,매각,hyl0610,황팀장,확정,4322261023456785,AI 연구용 GPU 서버,M111706249,2017-01-30,81274000,매각,중고품,사업종료
2022-04-10,매각,hyl0610,황팀장,확정,4322261023456785,AI 연구용 GPU 서버,M111906251,2019-02-03,89756000,매각,중고품,사업종료
2025-06-05,폐기,hyl0610,황팀장,확정,4322261023456785,AI 연구용 GPU 서버,M111906252,2019-02-03,89756000,폐기,폐품,사용연한경과
2025-01-09,매각,hyl0610,황팀장,확정,4322261023456785,AI 연구용 GPU 서버,M111906253,2019-02-03,89756000,매각,중고품,활용가능성 없음
2025-01-11,폐기,hyl0610,황팀장,확정,4322261023456785,AI 연구용 GPU 서버,M111906254,2019-02-03,89756000,폐기,폐품,사용연한경과
2022-05-18,매각,hyl0610,황팀장,확정,4322261023456785,AI 연구용 GPU 서버,M111906255,2019-02-03,89756000,매각,중고품,활용가능성 없음
2021-01-19,폐기,hyl0610,황팀장,확정,5611210223456788,매쉬 의자 (Standard),M111606258,2016-08-12,5734000,폐기,폐품,사용연한경과
2023-08-05,매각,hyl0610,황팀장,확정,5611210223456788,매쉬 의자 (Standard),M111606259,2016-08-12,5734000,매각,중고품,사업종료
2023-09-09,폐기,hyl0610,황팀장,확정,5611210223456788,매쉬 의자 (Standard),M111606261,2016-08-12,5734000,폐기,폐품,사용연한경과
2022-06-01,폐기,hyl0610,황팀장,확정,5611210223456788,매쉬 의자 (Standard),M111606263,2016-08-12,5734000,폐기,정비필요품,고장/파손
2021-11-04,매각,hyl0610,황팀장,확정,5611210223456788,매쉬 의자 (Standard),M111606264,2016-08-12,5734000,매각,중고품,불용결정
2020-05-24,폐기,hyl0610,황팀장,확정,5611210223456788,매쉬 의자 (Standard),M111606265,2016-08-12,5734000,폐기,폐품,사용연한경과
2024-04-29,매각,hyl0610,황팀장,확정,5611210223456788,매쉬 의자 (Standard),M111606271,2016-08-12,5734000,매각,중고품,활용가능성 없음
2024-01-19,매각,hyl0610,황팀장,확정,5611210223456788,매쉬 의자 (Standard),M111606277,2016-08-12,5734000,매각,중고품,사업종료
2020-11-20,폐기,hyl0610,황팀장,확정,5611210223456788,매쉬 의자 (Standard),M111606279,2016-08-12,5734000,폐기,정비필요품,고장/파손
2021-07-18,폐기,hyl0610,황팀장,확정,5611210223456788,매쉬 의자 (Standard),M111606282,2016-08-12,5734000,폐기,폐품,사용연한경과
2021-04-12,매각,hyl0610,황팀장,확정,5611210223456788,매쉬 의자 (Standard),M111606283,2016-08-12,5734000,매각,중고품,불용결정
2024-11-19,폐기,hyl0610,황팀장,확정,5611210223456788,매쉬 의자 (Standard),M111606285,2016-08-12,5734000,폐기,정비필요품,고장/파손
2021-07-03,폐기,hyl0610,황팀장,확정,5611210223456788,매쉬 의자 (Standard),M111606286,2016-08-12,5734000,폐기,폐품,사용연한경과
2025-03-21,폐기,hyl0610,황팀장,확정,4321150723456783,행정용 데스크탑 (Standard),M111906288,2019-12-21,4734000,폐기,정비필요품,고장/파손
2023-09-21,매각,hyl0610,황팀장,확정,4321150723456783,행정용 데스크탑 (Standard),M111906289,2019-12-21,4734000,매각,중고품,불용결정
2021-10-09,매각,hyl0610,황팀장,확정,4410160123456790,복합기 (컬러 레이저),M111606297,2016-11-30,29379000,매각,중고품,사업종료
2022-01-15,폐기,hyl0610,황팀장,확정,4410160123456790,복합기 (컬러 레이저),M111606305,2016-11-30,29379000,폐기,폐품,사용연한경과
2026-01-01,폐기,hyl0610,황팀장,확정,4321190223456784,27인치 모니터,M112206307,2022-04-19,3196000,폐기,정비필요품,고장/파손
2019-05-05,폐기,hyl0610,황팀장,확정,4410160123456790,복합기 (컬러 레이저),M111706325,2017-08-22,14562000,폐기,폐품,사용연한경과
2023-09-29,폐기,hyl0610,황팀장,확정,4410160123456790,복합기 (컬러 레이저),M111706328,2017-08-22,14562000,폐기,정비필요품,고장/파손
2026-01-06,매각,hyl0610,황팀장,확정,4321150323456781,업무용 노트북 (Galaxy Book),M112206333,2022-10-27,9306000,매각,중고품,사업종료
2024-12-20,매각,hyl0610,황팀장,확정,4321190223456784,27인치 모니터,M112006337,2020-12-18,2232000,매각,중고품,불용결정
2023-04-08,매각,hyl0610,황팀장,확정,4321190223456784,27인치 모니터,M112006338,2020-12-18,2232000,매각,중고품,활용가능성 없음
2023-07-26,폐기,hyl0610,황팀장,확정,4321190223456784,27인치 모니터,M112006341,2020-12-18,2232000,폐기,정비필요품,고장/파손
2023-03-16,폐기,hyl0610,황팀장,확정,4322261023456785,AI 연구용 GPU 서버,M112006344,2020-10-30,146629000,폐기,정비필요품,고장/파손
2025-06-15,매각,hyl0610,황팀장,확정,4322261023456785,AI 연구용 GPU 서버,M112006346,2020-10-30,146629000,매각,중고품,불용결정
2025-03-28,폐기,hyl0610,황팀장,확정,4322261023456785,AI 연구용 GPU 서버,M112006347,2020-10-30,146629000,폐기,폐품,사용연한경과
2023-12-15,폐기,hyl0610,황팀장,확정,4511160123456786,강의실 빔프로젝터,M111506353,2015-08-13,11236000,폐기,정비필요품,고장/파손
2019-04-25,폐기,hyl0610,황팀장,확정,4511160123456786,강의실 빔프로젝터,M111506356,2015-08-13,11236000,폐기,폐품,사용연한경과
2023-07-13,폐기,hyl0610,황팀장,확정,4511160123456786,강의실 빔프로젝터,M111506357,2015-08-13,11236000,폐기,폐품,사용연한경과
2023-03-20,매각,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111906359,2019-12-14,7718000,매각,중고품,불용결정
2022-02-06,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111906362,2019-12-14,7718000,폐기,폐품,사용연한경과
2025-07-29,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111906363,2019-12-14,7718000,폐기,폐품,사용연한경과
2023-03-23,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111906365,2019-12-14,7718000,폐기,정비필요품,고장/파손
2025-09-12,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111906371,2019-12-14,7718000,폐기,폐품,사용연한경과
2026-01-01,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111906372,2019-12-14,7718000,폐기,정비필요품,고장/파손
2021-06-08,매각,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111906373,2019-12-14,7718000,매각,중고품,사업종료
2023-06-05,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111906380,2019-12-14,7718000,폐기,폐품,사용연한경과
2022-06-06,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111906382,2019-12-14,7718000,폐기,정비필요품,고장/파손
2025-08-31,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111906385,2019-12-14,7718000,폐기,폐품,사용연한경과
2025-08-18,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111906386,2019-12-14,7718000,폐기,정비필요품,고장/파손
2024-06-28,매각,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111906387,2019-12-14,7718000,매각,중고품,불용결정
2025-04-25,매각,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111906389,2019-12-14,7718000,매각,중고품,사업종료
2019-08-08,폐기,hyl0610,황팀장,확정,4322261023456785,AI 연구용 GPU 서버,M111606396,2016-11-10,138888000,폐기,폐품,사용연한경과
2025-03-26,폐기,hyl0610,황팀장,확정,4322261023456785,AI 연구용 GPU 서버,M111606398,2016-11-10,138888000,폐기,폐품,사용연한경과
2022-11-26,폐기,hyl0610,황팀장,확정,4322261023456785,AI 연구용 GPU 서버,M111606399,2016-11-10,138888000,폐기,정비필요품,고장/파손
2019-06-10,폐기,hyl0610,황팀장,확정,4322261023456785,AI 연구용 GPU 서버,M111606400,2016-11-10,138888000,폐기,정비필요품,고장/파손
2020-06-28,폐기,hyl0610,황팀장,확정,4322261023456785,AI 연구용 GPU 서버,M111606401,2016-11-10,138888000,폐기,정비필요품,고장/파손
2019-05-24,폐기,hyl0610,황팀장,확정,4322261023456785,AI 연구용 GPU 서버,M111606404,2016-11-10,138888000,폐기,정비필요품,고장/파손
2025-02-03,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M112106407,2021-06-10,8212000,폐기,폐품,사용연한경과
2023-03-07,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M112106409,2021-06-10,8212000,폐기,폐품,사용연한경과
2024-08-23,매각,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M112106413,2021-06-10,8212000,매각,중고품,불용결정
2025-12-08,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M112106422,2021-06-10,8212000,폐기,폐품,사용연한경과
2024-10-27,매각,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M112106423,2021-06-10,8212000,매각,중고품,활용가능성 없음
2024-04-14,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M112106426,2021-06-10,8212000,폐기,정비필요품,고장/파손
2025-05-01,매각,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M112106432,2021-06-10,8212000,매각,중고품,불용결정
2023-04-17,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M112106433,2021-06-10,8212000,폐기,폐품,사용연한경과
2024-02-19,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M112206440,2022-02-12,2852000,폐기,정비필요품,고장/파손
2024-02-12,매각,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M112206441,2022-02-12,2852000,매각,중고품,사업종료
2024-02-28,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M112206447,2022-02-12,2852000,폐기,폐품,사용연한경과
2017-04-26,매각,hyl0610,황팀장,확정,4321150323456782,고성능 데스크탑 (Workstation),M111506454,2015-06-23,4663000,매각,중고품,불용결정
2020-07-02,매각,hyl0610,황팀장,확정,4322261023456785,AI 연구용 GPU 서버,M111906459,2019-01-19,89612000,매각,중고품,불용결정
2023-02-21,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111606499,2016-10-22,6704000,폐기,정비필요품,고장/파손
2024-02-22,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111606503,2016-10-22,6704000,폐기,폐품,사용연한경과
2018-12-11,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111606504,2016-10-22,6704000,폐기,정비필요품,고장/파손
2024-07-09,매각,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111606505,2016-10-22,6704000,매각,중고품,사업종료
2021-05-11,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111606506,2016-10-22,6704000,폐기,폐품,사용연한경과
2021-01-23,폐기,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111606508,2016-10-22,6704000,폐기,폐품,사용연한경과
2020-06-07,매각,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111606510,2016-10-22,6704000,매각,중고품,불용결정
2026-01-17,매각,hyl0610,황팀장,확정,5610170323456787,사무용 책상 (1400mm),M111606516,2016-10-22,6704000,매각,중고품,불용결정
2020-04-16,매각,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111606526,2016-10-28,6994000,매각,중고품,사업종료
2018-04-21,매각,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111606529,2016-10-28,6994000,매각,중고품,사업종료
2019-04-12,폐기,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111606530,2016-10-28,6994000,폐기,정비필요품,고장/파손
2019-12-11,폐기,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111606534,2016-10-28,6994000,폐기,폐품,사용연한경과
2019-10-28,폐기,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111606535,2016-10-28,6994000,폐기,폐품,사용연한경과
2023-08-10,매각,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111606537,2016-10-28,6994000,매각,중고품,사업종료
2023-05-02,폐기,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111606541,2016-10-28,6994000,폐기,폐품,사용연한경과
2018-05-29,매각,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111606547,2016-10-28,6994000,매각,중고품,불용결정
2023-01-24,폐기,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111606551,2016-10-28,6994000,폐기,폐품,사용연한경과
2023-07-14,매각,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111606554,2016-10-28,6994000,매각,중고품,활용가능성 없음
2024-10-13,폐기,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111606557,2016-10-28,6994000,폐기,정비필요품,고장/파손
2023-10-13,폐기,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111606558,2016-10-28,6994000,폐기,폐품,사용연한경과
